,ID,Date,Grade,Text,Option,Size,ProductNum,FilteredText,Text_Morpheme
438,sunb*******,2021.11.08,5,너무 예뻐요. 일부러 루즈하게 입으려고 크게 주문했는데 생각보다 더 좋네요~,0,0,3556338225,너무 예뻐요 일부러 루즈 하게 입으려고 크게 주문 했는데 생각 보다 좋네요,"[('너무', 'Adverb'), ('예뻐요', 'Adjective'), ('.', 'Punctuation'), ('일부러', 'Noun'), ('루즈', 'Noun'), ('하게', 'Verb'), ('입으려고', 'Verb'), ('크게', 'Noun'), ('주문', 'Noun'), ('했는데', 'Verb'), ('생각', 'Noun'), ('보다', 'Josa'), ('더', 'Noun'), ('좋네요', 'Adjective'), ('~', 'Punctuation')]"
439,s00n***,2022.12.26,5,아주 좋습니다. 일할때 근무복으로 입기 좋아요사이즈도 딱입니다.,0,0,3556338225,아주 좋습니다 근무 입기 좋아요 사이즈 딱입니다,"[('아주', 'Noun'), ('좋습니다', 'Adjective'), ('.', 'Punctuation'), ('일', 'Noun'), ('할', 'Verb'), ('때', 'Noun'), ('근무', 'Noun'), ('복', 'Noun'), ('으로', 'Josa'), ('입기', 'Verb'), ('좋아요', 'Adjective'), ('사이즈', 'Noun'), ('도', 'Josa'), ('딱입니다', 'Adjective'), ('.', 'Punctuation')]"
440,도다리세꼬시,2021.09.11,4,"전혀다른칼러,풍성함,청바지와어울림,소매약간올려서(접는)입는센스최고",0,0,3556338225,전혀 칼러 성함 청바지 어울림 소매 올려서 접는 입는 센스 최고,"[('전혀', 'Noun'), ('다른', 'Modifier'), ('칼러', 'Noun'), (',', 'Punctuation'), ('풍', 'Adverb'), ('성함', 'Noun'), (',', 'Punctuation'), ('청바지', 'Noun'), ('와', 'Josa'), ('어울림', 'Noun'), (',', 'Punctuation'), ('소', 'Modifier'), ('매', 'Modifier'), ('약간', 'Noun'), ('올려서', 'Verb'), ('(', 'Punctuation'), ('접는', 'Verb'), (')', 'Punctuation'), ('입는', 'Verb'), ('센스', 'Noun'), ('최고', 'Noun')]"
441,mk19***,2021.12.01,5,가격대비 훌륭해요. 면혼방이라 입기 좋아요. 제가팔이긴데 아주 잘맞아요,0,0,3556338225,가격 대비 훌륭해요 혼방 이라 입기 좋아요 팔이 긴데 아주 잘맞아요,"[('가격', 'Noun'), ('대비', 'Noun'), ('훌륭해요', 'Adjective'), ('.', 'Punctuation'), ('면', 'Noun'), ('혼방', 'Noun'), ('이라', 'Josa'), ('입기', 'Verb'), ('좋아요', 'Adjective'), ('.', 'Punctuation'), ('제', 'Noun'), ('가', 'Josa'), ('팔이', 'Noun'), ('긴데', 'Verb'), ('아주', 'Noun'), ('잘맞아요', 'Adjective')]"
442,helz***,2021.11.28,5,ㅎㅎ 가성비 짱 입니다 난 두께가 많이 얇아서 한겨울은 비추 가을 봄 용,0,0,3556338225,가성 입니다 두께 많이 얇아서 한겨울 비추 가을,"[('ㅎㅎ', 'KoreanParticle'), ('가성', 'Noun'), ('비', 'Noun'), ('짱', 'Noun'), ('입니다', 'Adjective'), ('난', 'Noun'), ('두께', 'Noun'), ('가', 'Josa'), ('많이', 'Adverb'), ('얇아서', 'Adjective'), ('한겨울', 'Noun'), ('은', 'Josa'), ('비추', 'Verb'), ('가을', 'Noun'), ('봄', 'Noun'), ('용', 'Noun')]"
443,para***,2022.01.29,4,한 사이즈 적게 나니 맞네요. 만족합니다,0,0,3556338225,사이즈 적게 나니 맞네요 만족합니다,"[('한', 'Verb'), ('사이즈', 'Noun'), ('적게', 'Verb'), ('나니', 'Noun'), ('맞네요', 'Verb'), ('.', 'Punctuation'), ('만족합니다', 'Adjective')]"
444,powe********,2021.12.09,5,가격 좋고 품질도 좋네여다만 미국애들 사이즈라 허리가 조금 길어요,0,0,3556338225,가격 좋고 품질 미국 사이즈 허리 길어요,"[('가격', 'Noun'), ('좋고', 'Adjective'), ('품질', 'Noun'), ('도', 'Josa'), ('좋', 'Adjective'), ('네', 'Determiner'), ('여', 'Modifier'), ('다만', 'Noun'), ('미국', 'Noun'), ('애', 'Noun'), ('들', 'Suffix'), ('사이즈', 'Noun'), ('라', 'Josa'), ('허리', 'Noun'), ('가', 'Josa'), ('조금', 'Noun'), ('길어요', 'Verb')]"
445,lht9****,2021.09.24,5,사이즈는 국내사이즈보다 한치수작게~~재품질은 그냥저냥이네요,0,0,3556338225,사이즈 국내 사이즈 보다 한치 수작 게재 품질 그냥 이네,"[('사이즈', 'Noun'), ('는', 'Josa'), ('국내', 'Noun'), ('사이즈', 'Noun'), ('보다', 'Josa'), ('한치', 'Noun'), ('수작', 'Noun'), ('게', 'Josa'), ('~~', 'Punctuation'), ('재', 'Noun'), ('품질', 'Noun'), ('은', 'Josa'), ('그냥', 'Modifier'), ('저', 'Modifier'), ('냥', 'Noun'), ('이네', 'Josa'), ('요', 'Noun')]"
446,seot****,2021.09.18,3,제치수보다 크게 나온다고 3XL을 시켰는데 6XL이 온거 같은 무지막지한 펑퍼짐한 사이즈입니다.,0,0,3556338225,치수 보다 크게 나온다고 시켰는데 온거 같은 무지막지 펑퍼짐한 사이즈 입니다,"[('제', 'Modifier'), ('치수', 'Noun'), ('보다', 'Josa'), ('크게', 'Noun'), ('나온다고', 'Verb'), ('3', 'Number'), ('XL', 'Alpha'), ('을', 'Josa'), ('시켰는데', 'Verb'), ('6', 'Number'), ('XL', 'Alpha'), ('이', 'Noun'), ('온거', 'Verb'), ('같은', 'Adjective'), ('무지막지', 'Noun'), ('한', 'Josa'), ('펑퍼짐한', 'Adjective'), ('사이즈', 'Noun'), ('입니다', 'Adjective'), ('.', 'Punctuation')]"
447,mefo****,2022.12.20,4,가격 저렴하고 안에 받쳐입기 좋아요,0,0,3556338225,가격 저렴하고 받쳐 입기 좋아요,"[('가격', 'Noun'), ('저렴하고', 'Adjective'), ('안', 'Noun'), ('에', 'Josa'), ('받쳐', 'Verb'), ('입기', 'Verb'), ('좋아요', 'Adjective')]"
448,fres*******,2021.11.17,5,가성비 좋아요 부드러운 면이 아니라 톡톡한 면 이에요,0,0,3556338225,가성 좋아요 부드러운 아니라 톡톡한 이에요,"[('가성', 'Noun'), ('비', 'Noun'), ('좋아요', 'Adjective'), ('부드러운', 'Adjective'), ('면', 'Noun'), ('이', 'Josa'), ('아니라', 'Adjective'), ('톡톡한', 'Adjective'), ('면', 'Noun'), ('이에요', 'Josa')]"
449,novi*****,2021.12.06,5,편하게 입기 좋고 가성비 최강이네요. 바로 10팩 세트 구매합니다,0,0,3556338225,편하게 입기 좋고 가성 최강 이네 세트 구매 합니다,"[('편하게', 'Adjective'), ('입기', 'Verb'), ('좋고', 'Adjective'), ('가성', 'Noun'), ('비', 'Noun'), ('최강', 'Noun'), ('이네', 'Josa'), ('요', 'Noun'), ('.', 'Punctuation'), ('바로', 'Noun'), ('10', 'Number'), ('팩', 'Noun'), ('세트', 'Noun'), ('구매', 'Noun'), ('합니다', 'Verb')]"
450,pure********,2021.10.28,5,제품 좋고 배송 좋고 굿입니다,0,0,3556338225,제품 좋고 배송 좋고 입니다,"[('제품', 'Noun'), ('좋고', 'Adjective'), ('배송', 'Noun'), ('좋고', 'Adjective'), ('굿', 'Noun'), ('입니다', 'Adjective')]"
451,pure********,2021.10.28,5,제품 좋고 배송 좋고 굿입니다,0,0,3556338225,제품 좋고 배송 좋고 입니다,"[('제품', 'Noun'), ('좋고', 'Adjective'), ('배송', 'Noun'), ('좋고', 'Adjective'), ('굿', 'Noun'), ('입니다', 'Adjective')]"
452,pure********,2021.09.07,5,제품 좋고 배송 좋고 굿입니다,0,0,3556338225,제품 좋고 배송 좋고 입니다,"[('제품', 'Noun'), ('좋고', 'Adjective'), ('배송', 'Noun'), ('좋고', 'Adjective'), ('굿', 'Noun'), ('입니다', 'Adjective')]"
453,pure********,2021.09.07,5,제품 좋고 배송 좋고 굿입니다,0,0,3556338225,제품 좋고 배송 좋고 입니다,"[('제품', 'Noun'), ('좋고', 'Adjective'), ('배송', 'Noun'), ('좋고', 'Adjective'), ('굿', 'Noun'), ('입니다', 'Adjective')]"
454,pure********,2021.09.06,5,제품 좋고 배송 좋고 굿입니다,0,0,3556338225,제품 좋고 배송 좋고 입니다,"[('제품', 'Noun'), ('좋고', 'Adjective'), ('배송', 'Noun'), ('좋고', 'Adjective'), ('굿', 'Noun'), ('입니다', 'Adjective')]"
455,newe*****,2021.10.11,3,저렴하게  입을수있는 상품입니다  우리나라 치수보다 한치수 크다고 생각하면됩니다,0,0,3556338225,저렴하게 입을수있는 상품 입니다 우리나라 치수 보다 치수 크다고 생각 하면 됩니다,"[('저렴하게', 'Adjective'), ('입을수있는', 'Adjective'), ('상품', 'Noun'), ('입니다', 'Adjective'), ('우리나라', 'Noun'), ('치수', 'Noun'), ('보다', 'Josa'), ('한', 'Determiner'), ('치수', 'Noun'), ('크다고', 'Verb'), ('생각', 'Noun'), ('하면', 'Verb'), ('됩니다', 'Verb')]"
456,dies****,2022.11.24,5,부드러운 소재에 씨이즈 정확하고  품질좋은 상품입니다!,0,0,3556338225,부드러운 소재 이즈 정확하고 품질 좋은 상품 입니다,"[('부드러운', 'Adjective'), ('소재', 'Noun'), ('에', 'Josa'), ('씨', 'Noun'), ('이즈', 'Noun'), ('정확하고', 'Adjective'), ('품질', 'Noun'), ('좋은', 'Adjective'), ('상품', 'Noun'), ('입니다', 'Adjective'), ('!', 'Punctuation')]"
457,rush**,2021.10.24,3,옷 마감처리는 잘되어있는데 사이즈가 과도하게 크네요,0,0,3556338225,마감 처리 되어있는데 사이즈 과도 하게 크네요,"[('옷', 'Noun'), ('마감', 'Noun'), ('처리', 'Noun'), ('는', 'Josa'), ('잘', 'VerbPrefix'), ('되어있는데', 'Verb'), ('사이즈', 'Noun'), ('가', 'Josa'), ('과도', 'Noun'), ('하게', 'Verb'), ('크네요', 'Verb')]"
458,dohy****,2022.12.29,4,옷감이 부드럽지 못하고 뻣뻣한 느낌이고 감촉도 거칠어요,0,0,3556338225,옷감 부드럽지 하고 뻣뻣한 느낌 이고 감촉 거칠어요,"[('옷감', 'Noun'), ('이', 'Josa'), ('부드럽지', 'Adjective'), ('못', 'Noun'), ('하고', 'Josa'), ('뻣뻣한', 'Adjective'), ('느낌', 'Noun'), ('이고', 'Josa'), ('감촉', 'Noun'), ('도', 'Josa'), ('거칠어요', 'Verb')]"
459,ayou***,2021.12.16,5,빠른배송 그리고 가격대비 제품의 질이 좋습니다만족합니다,0,0,3556338225,빠른 배송 가격 대비 제품 좋습니다 만족합니다,"[('빠른', 'Adjective'), ('배송', 'Noun'), ('그리고', 'Conjunction'), ('가격', 'Noun'), ('대비', 'Noun'), ('제품', 'Noun'), ('의', 'Josa'), ('질', 'Noun'), ('이', 'Josa'), ('좋습니다', 'Adjective'), ('만족합니다', 'Adjective')]"
460,kazm****,2021.09.22,5,기격대비 품질이 나쁘지 않습니다,0,0,3556338225,대비 품질 나쁘지 않습니다,"[('기', 'Modifier'), ('격', 'Noun'), ('대비', 'Noun'), ('품질', 'Noun'), ('이', 'Josa'), ('나쁘지', 'Adjective'), ('않습니다', 'Verb')]"
461,free*****,2022.05.11,5,만족합니다 평소 좋아하는데 저렴하게 잘 샀어요 좋네요 굿,0,0,3556338225,만족합니다 평소 좋아하는데 저렴하게 샀어요 좋네요,"[('만족합니다', 'Adjective'), ('평소', 'Noun'), ('좋아하는데', 'Adjective'), ('저렴하게', 'Adjective'), ('잘', 'Verb'), ('샀어요', 'Verb'), ('좋네요', 'Adjective'), ('굿', 'Noun')]"
462,kimd*******,2021.10.24,5,사이즈도 딱 맞고 재질도 좋고 가성비 최고예요,0,0,3556338225,사이즈 맞고 재질 좋고 가성 최고 예요,"[('사이즈', 'Noun'), ('도', 'Josa'), ('딱', 'Adverb'), ('맞고', 'Verb'), ('재질', 'Noun'), ('도', 'Josa'), ('좋고', 'Adjective'), ('가성', 'Noun'), ('비', 'Noun'), ('최고', 'Noun'), ('예요', 'Josa')]"
463,hystiny0,2021.10.30,5,가격이 싸고 상품도 좋아요.  배송도 생각보다 빨라요.,0,0,3556338225,가격 싸고 상품 좋아요 배송 생각 보다 빨라요,"[('가격', 'Noun'), ('이', 'Josa'), ('싸고', 'Verb'), ('상품', 'Noun'), ('도', 'Josa'), ('좋아요', 'Adjective'), ('.', 'Punctuation'), ('배송', 'Noun'), ('도', 'Josa'), ('생각', 'Noun'), ('보다', 'Josa'), ('빨라요', 'Adjective'), ('.', 'Punctuation')]"
464,지혜의숲,2021.12.05,5,스포츠그레이색이라밝아보이고 목선이 짱짱한게 좋아요,0,0,3556338225,스포츠 그레이 이라 밝아 보이 목선 짱짱한게 좋아요,"[('스포츠', 'Noun'), ('그레이', 'Noun'), ('색', 'Noun'), ('이라', 'Josa'), ('밝아', 'Verb'), ('보이', 'Noun'), ('고', 'Josa'), ('목선', 'Noun'), ('이', 'Josa'), ('짱짱한게', 'Adjective'), ('좋아요', 'Adjective')]"
465,minm****,2021.11.07,5,가성비 좋고 뱌송도 빨라서 추천합니다제품고도  좋음요,0,0,3556338225,가성 좋고 뱌송 라서 추천 합니다 제품 고도,"[('가성', 'Noun'), ('비', 'Noun'), ('좋고', 'Adjective'), ('뱌송', 'Noun'), ('도', 'Josa'), ('빨', 'Noun'), ('라서', 'Josa'), ('추천', 'Noun'), ('합니다', 'Verb'), ('제품', 'Noun'), ('고도', 'Noun'), ('좋', 'Adjective'), ('음', 'Noun'), ('요', 'Josa')]"
466,minm****,2021.11.07,5,가성비 좋고 뱌송도 빨라서 추천합니다제품고도  좋음요,0,0,3556338225,가성 좋고 뱌송 라서 추천 합니다 제품 고도,"[('가성', 'Noun'), ('비', 'Noun'), ('좋고', 'Adjective'), ('뱌송', 'Noun'), ('도', 'Josa'), ('빨', 'Noun'), ('라서', 'Josa'), ('추천', 'Noun'), ('합니다', 'Verb'), ('제품', 'Noun'), ('고도', 'Noun'), ('좋', 'Adjective'), ('음', 'Noun'), ('요', 'Josa')]"
